source_id,organization,title,version_or_date,source_type,url,verified_on,status,notes
SRC-NIH-RIGOR,National Institutes of Health,Guidance: Rigor and Reproducibility in Grant Applications,Page updated 2024-10-16,official guidance,https://grants.nih.gov/policy-and-compliance/policy-topics/reproducibility/guidance,2026-07-23,current_official,"Scientific premise, rigorous design, biological variables, resource authentication, and transparency"
SRC-NIH-REPLICATION,National Institutes of Health,Strengthening Replication and Reproducibility of NIH-funded Research,Page reviewed 2026-06-22,official initiative,https://www.nih.gov/replicationandreproducibility,2026-07-23,current_official,"Agency-wide replication and reproducibility initiative; policy implementation may continue to evolve"
SRC-COCHRANE-PICO,Cochrane,Handbook Chapter 2: Determining the scope of the review and the questions it will address,Current handbook chapter,official handbook,https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-02,2026-07-23,current_official,"PICO for intervention reviews, protocol-stage definition, synthesis-level distinctions, and stakeholder input"
SRC-PICO-ORIGINAL,Richardson et al.,The well-built clinical question: a key to evidence-based decisions,Published 1995-11-01,primary methods article,https://www.acpjournals.org/doi/10.7326/ACPJC-1995-123-3-A12,2026-07-23,foundational_primary,"Original four-part well-built clinical-question article; DOI 10.7326/ACPJC-1995-123-3-A12"
SRC-FINER-1988,Hulley and Cummings,Designing Clinical Research: An Epidemiologic Approach,First edition 1988,foundational book metadata,https://books.google.com/books/about/Designing_Clinical_Research.html?id=hKdpAAAAMAAJ,2026-07-23,historical_metadata_limited,"Earliest FINER-attributed source located in this search; bibliographic preview confirms edition metadata but the search did not prove first printed use or coinage"
SRC-FINER-CURRENT,Werner and Willis,Back to the basics: guidance for formulating good research questions,Published 2023-10-12,current methods article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11129835/,2026-07-23,current_primary,"Current discussion of FINER as a practical question-appraisal framework; novelty requires literature review"
SRC-PLATT-1964,John R. Platt,Strong Inference,Published 1964-10-16,primary methods essay,https://www.science.org/doi/10.1126/science.146.3642.347,2026-07-23,foundational_primary,"Multiple alternatives, crucial experiments, and iterative exclusion; DOI 10.1126/science.146.3642.347"
SRC-COS-PREREG,Center for Open Science,Preregistration,Current official page,official guidance,https://www.cos.io/initiatives/prereg,2026-07-23,current_official,"Separates planned from unplanned work and requires transparent changes; exploration remains valid"
SRC-OSF-REG,Center for Open Science / OSF,Welcome to Registrations and Preregistrations,Current 2026 help page,official implementation guidance,https://help.osf.io/article/330-welcome-to-registrations,2026-07-23,current_official,"Timestamped plans, template guidance, analysis details, and anticipated deviations"
SRC-COS-RR,Center for Open Science,Registered Reports,Current official initiative page,official guidance,https://www.cos.io/initiatives/registered-reports,2026-07-23,current_official,"Results-blind protocol review and in-principle acceptance; verify the target journal policy"
SRC-SPIRIT-2025,SPIRIT-CONSORT Group,SPIRIT 2025 statement: updated guideline for protocols of randomised trials,Published 2025-04-28,primary reporting guideline,https://www.bmj.com/content/389/bmj-2024-081477,2026-07-23,current_primary,"34 minimum protocol items; supersedes SPIRIT 2013; DOI 10.1136/bmj-2024-081477"
SRC-CONSORT-2025,SPIRIT-CONSORT Group,CONSORT 2025 statement: updated guideline for reporting randomised trials,Published 2025-04-14,primary reporting guideline,https://www.bmj.com/content/389/bmj-2024-081123,2026-07-23,current_primary,"30-item result-reporting guideline with open-science, harms, outcomes, intervention, and change-reporting updates"
SRC-ICH-E9R1,International Council for Harmonisation,ICH E9(R1) Addendum on Estimands and Sensitivity Analysis in Clinical Trials,Step 4 2019; implemented 2020,official statistical guidance,https://database.ich.org/sites/default/files/E9-R1_Step4_Guideline_2019_1203.pdf,2026-07-23,current_official,"Defines estimand as the precise treatment-effect target and aligns planning, design, analysis, sensitivity, and interpretation"
