source_id,organization,title,version_or_date,source_type,url,verified_on,status,notes
SRC-COPE-ETHICS,COPE,Ethical Guidelines for Peer Reviewers,Version 2 September 2017,ethical guideline,https://publicationethics.org/guidance/guideline/ethical-guidelines-peer-reviewers,2026-07-23,current_official,"Core duties for competence, conflicts, confidentiality, timeliness, conduct, and bounded requests"
SRC-COPE-PEER,COPE,Peer review core practice and resources,Current page; first posted 2018,core practice,https://publicationethics.org/news-opinion/peer-review,2026-07-23,current_official,Use with the detailed ethical guideline and current target-journal policy
SRC-ICMJE-REVIEW,ICMJE,Responsibilities in the Submission and Peer-Review Process,Current 2026 recommendations,professional recommendation,https://www.icmje.org/recommendations/browse/roles-and-responsibilities/responsibilities-in-the-submission-and-peer-peview-process.html,2026-07-23,current_official,"Confidentiality, deletion, assistance disclosure, conflicts, constructive review, and editor responsibility"
SRC-ICMJE-AI,ICMJE,Use of AI by Reviewers,Current 2026 recommendations,professional recommendation,https://www.icmje.org/recommendations/browse/artificial-intelligence/ai-use-by-reviewers.html,2026-07-23,current_official,"Follow journal policy, request permission, preserve confidentiality, disclose use, and validate output"
SRC-EQUATOR,EQUATOR Network,Library for health research reporting,Current database,reporting-guideline registry,https://www.equator-network.org/,2026-07-23,current_official,Primary registry for selecting study-type-specific health reporting guidance
SRC-EQUATOR-SELECT,EQUATOR Network,Selecting the appropriate reporting guideline for your article,Current toolkit,selection guidance,https://www.equator-network.org/toolkits/selecting-the-appropriate-reporting-guideline,2026-07-23,current_official,Selection aid for authors editors and peer reviewers
SRC-CONSORT-2025,CONSORT-SPIRIT Group,CONSORT 2025 statement: updated guideline for reporting randomised trials,Published 2025-04-14,primary guideline,https://www.bmj.com/content/389/bmj-2024-081123,2026-07-23,current_primary,"Thirty main items; supersedes 2010; explicitly not a quality assessment instrument"
SRC-SPIRIT-2025,CONSORT-SPIRIT Group,SPIRIT 2025 statement: updated guideline for protocols of randomised trials,Published 2025-04-28,primary guideline,https://www.bmj.com/content/389/bmj-2024-081477,2026-07-23,current_primary,Thirty-four main items; supersedes SPIRIT 2013
SRC-PRISMA-2020,PRISMA Group,PRISMA 2020,2020 statement published 2021,official guideline site,https://www.prisma-statement.org/prisma-2020,2026-07-23,current_official,"Statement, expanded checklist, abstract checklist, and flow diagrams"
SRC-PRISMA-QUALITY,PRISMA Group,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,Published 2021-03-29,primary guideline,https://www.bmj.com/content/372/bmj.n71,2026-07-23,current_primary,Explicitly not intended to assess conduct or methodological quality
SRC-STROBE,STROBE Initiative,Strengthening the Reporting of Observational Studies in Epidemiology,2007 statement; current site,official guideline site,https://www.strobe-statement.org/,2026-07-23,current_official,"Use design-specific checklist and applicable extensions"
SRC-STARD-2015,EQUATOR Network / STARD Group,STARD 2015: updated list for diagnostic accuracy studies,2015,registry record and primary links,https://www.equator-network.org/reporting-guidelines/stard/,2026-07-23,current_official,Thirty main reporting items for diagnostic accuracy studies
